"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2017 SD12)","3","25.0","17 - 78","6","11.654, 354","11.989, 330","34","? 2032-09 [18.5] ?","none","none","bK17S12D"
"523605 (2004 RX10)","31","21.3","96 - 428","0","11.697, 402","11.935, 394","33","2019-07 [18.8]","2027-10 [33]","none","a0523605"
"(2008 TT26)","22","23.6","33 - 148","5","11.467, 370","11.935, 354","33","2020-02 [23.6]","none","none","bK08T26T"
"(2012 QM14)","7","25.7","13 - 56","8","11.791, 434","11.989, 418","33","? 2027-01 [22.8] ?","none","none","bK12Q14M"
"(2017 DT15)","14","25.2","16 - 71","6","11.681, 370","11.974, 338","33","? 2036-02 [19.6] ?","none","none","bK17D15T"
"4581 Asclepius (1989 FC)","87","20.7","126 - 564","0","11.858, 442","11.971, 426","32","2019-07 [22.9]","2020-03 [590]","2020-03 [12]","a0004581"
"(2014 RW22)","28","24.1","26 - 118","0","11.429, 394","11.965, 370","32","2020-07 [23.9]","none","none","bK14R22W"
"(2018 CL)","2","25.5","14 - 62","6","11.749, 370","11.998, 354","32","? 2032-12 [20.2] ?","none","none","bK18C00L"
"209215 (2003 WP25)","24","24.2","25 - 112","1","11.172, 450","12.000, 442","31","none","none","none","a0209215"
"(2006 VX2)","9","24.6","21 - 94","3","11.736, 394","11.973, 386","31","2024-08 [23.3]","2034-11 [72]","none","bK06V02X"
"(2010 NG)","10","25.1","17 - 74","7","11.494, 186","11.786, 170","31","? 2029-05 [20.6] ?","none","none","bK10N00G"
"(2014 VL6)","28","21.3","96 - 428","0","11.568, 370","11.869, 354","31","2021-01 [20.6]","2039-09 [16]","none","bK14V06L"
"(2016 AV65)","12","25.0","17 - 78","6","11.375, 378","11.944, 346","31","? 2028-12 [23.0] ?","none","none","bK16A65V"
"(2016 CR247)","14","21.6","83 - 372","4","11.612, 378","11.898, 370","31","2022-03 [20.5]","none","none","bK16CO7R"
"387733 (2003 GS)","83","18.9","289 - 1291","0","11.723, 362","11.907, 354","30","2019-07 [20.3]","2025-05 [43]","none","a0387733"
"(2013 AF4)","16","22.7","50 - 224","1","11.757, 378","11.906, 362","30","2021-07 [23.1]","none","none","bK13A04F"
"(2018 VN1)","7","26.2","10 - 45","7","11.447, 370","11.954, 346","30","none","none","none","bK18V01N"
"(2005 LU3)","8","26.2","10 - 45","7","11.672, 450","11.872, 434","29","? 2027-10 [22.0] ?","none","none","bK05L03U"
"(2012 HE31)","5","25.8","12 - 54","7","11.814, 330","11.957, 322","29","? 2025-03 [20.8] ?","none","none","bK12H31E"
"(2016 AV192)","5","25.7","13 - 56","8","11.534, 354","11.989, 322","29","none","none","none","bK16AJ2V"
"(2008 TZ)","15","25.4","14 - 65","6","11.571, 450","11.848, 450","28","2021-10 [23.5]","none","none","bK08T00Z"
"(2013 WS44)","6","24.7","20 - 89","6","11.791, 394","11.988, 346","28","? 2023-07 [23.8] ?","none","none","bK13W44S"
"(2017 CE32)","2","23.6","33 - 148","9","11.587, 362","11.912, 346","28","? 2023-07 [23.5] ?","none","none","bK17C32E"
"(2019 EN2)","2","27.6","5.3 - 24","6","11.506, 378","11.783, 370","28","none","none","none","bK19E02N"
"(2018 SK)","3","25.8","12 - 54","8","11.399, 354","11.996, 330","28","none","none","none","bK18S00K"
"(2014 JR79)","3","24.4","23 - 103","9","11.537, 370","11.894, 354","27","? 2036-04 [22.9] ?","none","none","bK14J79R"
"(2014 KX76)","10","24.3","24 - 107","7","11.067, 362","11.810, 338","27","none","none","none","bK14K76X"
"(2015 AE45)","9","25.3","15 - 68","6","11.613, 362","11.824, 346","27","? 2023-01 [21.3] ?","none","none","bK15A45E"
"(2016 VW2)","6","26.3","10 - 43","7","11.654, 370","11.990, 362","27","? 2023-11 [18.9] ?","none","none","bK16V02W"
"(2018 RE4)","4","27.1","6.6 - 30","8","11.372, 362","11.934, 154","27","none","none","none","bK18R04E"
"(2004 PJ2)","25","21.4","91 - 408","0","11.637, 386","11.886, 370","26","2020-12 [21.7]","2026-03 [49]","none","bK04P02J"
"(2017 BQ32)","4","26.8","7.6 - 34","7","11.454, 362","11.847, 346","26","? 2035-01 [22.8] ?","none","none","bK17B32Q"
"(2018 GL1)","25","23.7","32 - 142","5","11.365, 386","11.999, 378","26","none","none","none","bK18G01L"
"(2018 KV2)","1","25.1","17 - 74","8","11.573, 362","11.869, 178","26","none","none","none","bK18K02V"
"(2010 DE2)","8","26.8","7.6 - 34","7","11.508, 402","11.972, 378","25","? 2035-03 [22.6] ?","none","none","bK10D02E"
"(2013 BN18)","9","24.6","21 - 94","6","11.366, 362","11.687, 354","25","? 2029-01 [20.6] ?","none","none","bK13B18N"
"(2014 FZ6)","10","24.7","20 - 89","7","11.553, 378","11.998, 370","25","none","none","none","bK14F06Z"
"(2014 UG5)","8","23.9","29 - 129","8","11.819, 354","11.870, 338","25","? 2022-04 [23.9] ?","none","none","bK14U05G"
"(2015 VM105)","9","26.6","8.3 - 37","7","11.565, 186","11.862, 178","25","none","none","none","bK15VA5M"
"(2017 VG13)","4","26.7","8.0 - 36","7","11.476, 370","11.956, 338","25","none","none","none","bK17V13G"
"(2019 FN2)","13","23.7","31 - 141","2","11.611, 362","11.929, 170","25","2022-03 [23.0]","none","none","bK19F02N"
"(2014 WC201)","12","26.2","10 - 45","7","11.749, 434","11.977, 418","24","? 2035-11 [23.0] ?","none","none","bK14WK1C"
"(2014 WE121)","16","23.6","33 - 148","6","11.751, 402","11.868, 386","24","2022-01 [23.0]","none","none","bK14WC1E"
"(2009 FE19)","6","26.9","7.3 - 32","7","11.492, 354","11.782, 346","23","? 2034-03 [23.6] ?","none","none","bK09F19E"
"(2011 UF10)","7","23.4","36 - 163","8","11.678, 370","11.890, 354","23","? 2030-08 [22.8] ?","none","none","bK11U10F"
"533011 (2014 AY28)","69","21.8","76 - 340","0","11.801, 370","11.993, 354","23","2019-07 [23.5]","2031-03 [44]","none","a0533011"
"(2015 HW10)","5","25.7","13 - 56","5","11.590, 362","11.977, 354","23","none","none","none","bK15H10W"
"(1994 EU)","12","25.9","11 - 51","8","11.362, 362","11.980, 338","22","? 2031-03 [23.4] ?","none","none","bJ94E00U"
"(2008 EK85)","6","28.4","3.6 - 16","8","11.580, 362","11.892, 346","22","none","none","none","bK08E85K"
"(2010 FX9)","23","24.2","25 - 112","0","11.458, 394","11.936, 378","22","2020-08 [22.5]","none","2026-09 [12]","bK10F09X"
"(2011 WP4)","8","27.2","6.3 - 28","6","11.801, 354","11.905, 338","22","? 2023-04 [23.6] ?","none","none","bK11W04P"
"(2013 EQ41)","9","25.5","14 - 62","7","11.852, 322","11.989, 282","22","? 2036-03 [18.5] ?","none","none","bK13E41Q"
"(2013 LD7)","5","25.3","15 - 68","9","11.856, 378","11.970, 362","22","? 2022-05 [19.4] ?","none","none","bK13L07D"
"(2016 AH65)","7","25.8","12 - 54","7","11.360, 370","11.974, 362","22","none","none","none","bK16A65H"
"(2018 AG4)","4","26.1","10 - 47","6","11.370, 354","11.858, 338","22","? 2035-01 [19.7] ?","none","none","bK18A04G"
"(2018 VZ4)","2","26.8","7.6 - 34","7","11.825, 314","11.963, 274","22","none","none","none","bK18V04Z"
"(2005 ND63)","10","26.2","10 - 45","7","11.528, 362","11.864, 346","21","? 2024-07 [23.9] ?","none","none","bK05N63D"
"(2008 WH14)","6","26.3","10 - 43","9","11.665, 362","11.976, 346","21","? 2031-10 [21.7] ?","none","none","bK08W14H"
"468005 (2012 XD112)","64","21.2","100 - 448","0","11.556, 402","11.981, 330","21","2019-08 [22.5]","2022-06 [12]","none","a0468005"
"(2015 OQ21)","9","27.9","4.6 - 20","3","11.711, 282","11.833, 258","21","2022-06 [22.3]","none","none","bK15O21Q"
"(2016 RP40)","5","24.8","19 - 85","8","11.548, 378","11.916, 370","21","? 2021-08 [21.2] ?","none","none","bK16R40P"
"(2018 DN3)","1","27.0","7.0 - 31","9","11.672, 370","11.792, 354","21","none","none","none","bK18D03N"
"(2018 TV)","3","28.6","3.3 - 15","6","11.701, 346","11.953, 306","21","none","none","none","bK18T00V"
"(2000 JX8)","11","25.4","14 - 65","8","11.473, 378","11.941, 354","20","? 2036-04 [17.4] ?","none","none","bK00J08X"
"363505 (2003 UC20)","238","18.1","417 - 1866","0","11.837, 314","11.956, 290","20","2019-09 [19.5]","2021-08 [14]","2023-10 [650]","a0363505"
"(2016 GK2)","8","27.7","5.0 - 22","7","11.666, 330","11.884, 306","20","none","none","none","bK16G02K"
"(2016 KC)","12","23.0","44 - 195","0","11.655, 370","11.929, 346","20","2019-07 [23.4]","none","none","bK16K00C"
"(2017 RY17)","3","27.2","6.3 - 28","8","11.582, 394","11.973, 370","20","none","none","none","bK17R17Y"
"(2018 LP3)","1","25.7","13 - 56","7","11.635, 362","11.892, 346","20","? 2039-12 [23.4] ?","none","none","bK18L03P"
"(2019 GZ5)","2","26.1","10 - 47","7","11.708, 370","11.947, 362","20","? 2037-10 [23.1] ?","none","none","bK19G05Z"
"(2011 YA63)","8","24.6","21 - 94","6","11.881, 450","11.983, 426","19","? 2023-09 [23.6] ?","none","none","bK11Y63A"
"(2017 QA3)","2","25.1","17 - 74","8","11.728, 378","11.903, 370","19","? 2021-01 [23.9] ?","none","none","bK17Q03A"
"(2017 UD43)","1","28.4","3.6 - 16","7","11.404, 362","11.921, 338","19","none","none","none","bK17U43D"
"(2010 AF30)","25","21.7","80 - 356","0","11.816, 426","11.984, 402","18","2019-07 [23.1]","2039-03 [25]","none","bK10A30F"
"(2014 AE5)","9","25.5","14 - 62","7","11.724, 426","11.994, 386","18","? 2032-12 [22.4] ?","none","none","bK14A05E"
"(2018 WW)","2","23.2","40 - 178","8","11.777, 362","11.927, 354","18","2019-07 [23.6]","none","none","bK18W00W"
"(2019 EG1)","2","26.0","11 - 49","7","11.631, 370","11.988, 362","18","none","none","none","bK19E01G"
"(2015 BU4)","8","25.6","13 - 59","6","11.720, 354","11.981, 338","17","? 2038-01 [23.2] ?","none","none","bK15B04U"
"(2016 SE1)","17","22.7","50 - 224","6","11.745, 338","11.909, 322","17","? 2031-03 [23.8] ?","none","none","bK16S01E"
"(2017 BY6)","4","26.0","11 - 49","8","11.723, 378","11.815, 362","17","none","none","none","bK17B06Y"
"(2017 UC)","7","26.4","9.1 - 41","7","11.700, 386","11.992, 346","17","? 2026-08 [21.1] ?","none","none","bK17U00C"
"(2017 YJ1)","2","27.4","5.8 - 26","7","11.834, 362","11.999, 354","17","none","none","none","bK17Y01J"
"(2019 GJ3)","2","28.2","4.0 - 18","6","11.564, 378","11.978, 338","17","none","none","none","bK19G03J"
"(1997 CD17)","12","27.5","5.5 - 25","6","11.453, 362","11.852, 354","16","none","none","none","bJ97C17D"
"(2014 DE23)","12","24.7","20 - 89","7","11.655, 378","11.979, 362","16","? 2025-02 [22.6] ?","none","none","bK14D23E"
"(2016 LJ8)","8","25.2","16 - 71","7","11.627, 354","11.836, 346","16","? 2021-11 [23.8] ?","none","none","bK16L08J"
"489486 (2007 GS3)","57","19.4","229 - 1026","0","11.825, 370","11.943, 362","15","2019-07 [16.7]","2019-10 [69]","none","a0489486"
"(2009 QH6)","14","22.7","50 - 224","7","11.773, 370","11.962, 354","15","? 2021-05 [19.9] ?","none","none","bK09Q06H"
"(2013 KA)","5","27.9","4.6 - 20","7","11.725, 426","11.948, 418","15","none","none","none","bK13K00A"
"(2016 CY192)","11","24.0","28 - 123","6","11.823, 410","11.898, 394","15","? 2032-10 [23.9] ?","none","none","bK16CJ2Y"
"(2017 FH63)","8","25.1","17 - 74","7","11.768, 362","11.975, 186","15","none","none","none","bK17F63H"
"(2017 FX101)","6","25.3","15 - 68","6","11.713, 370","11.713, 370","15","2037-04 [23.9]","none","none","bK17FA1X"
"1943 Anteros (1973 EC)","484","15.8","1231 - 5507","0","11.755, 378","11.980, 354","14","2019-07 [18.1]","2026-06 [860]","2026-05 [34]","a0001943"
"(2003 JO14)","8","25.2","16 - 71","7","11.594, 370","11.882, 362","14","? 2022-04 [22.7] ?","none","none","bK03J14O"
"(2004 CC)","7","23.6","33 - 148","8","11.828, 386","11.913, 202","14","? 2021-02 [22.8] ?","none","none","bK04C00C"
"(2004 PG20)","10","24.5","22 - 98","7","11.802, 410","11.997, 386","14","? 2023-04 [22.4] ?","none","none","bK04P20G"
"(2012 BA102)","6","26.6","8.3 - 37","8","11.908, 202","11.996, 178","14","? 2037-01 [18.2] ?","none","none","bK12BA2A"
"(2015 FT117)","3","28.4","3.6 - 16","7","11.762, 402","11.953, 354","14","none","none","none","bK15FB7T"
"(2018 PZ23)","5","25.2","16 - 71","7","11.744, 314","11.845, 298","14","none","none","none","bK18P23Z"
"(2018 SN3)","4","27.4","5.8 - 26","8","11.795, 338","11.967, 314","14","none","none","none","bK18S03N"
"(2009 VM24)","6","26.6","8.3 - 37","8","11.663, 378","11.848, 370","13","? 2029-10 [22.8] ?","none","none","bK09V24M"
"(2012 XP134)","7","27.6","5.3 - 23","6","11.733, 386","11.879, 378","13","none","none","none","bK12XD4P"
"(2016 CN248)","3","27.3","6.0 - 27","6","11.795, 450","11.943, 442","13","? 2034-10 [23.3] ?","none","none","bK16CO8N"
"(2016 JE5)","5","24.9","18 - 81","7","11.858, 370","11.925, 362","13","? 2022-10 [22.8] ?","none","none","bK16J05E"
"(2016 TS2)","3","26.5","8.7 - 39","7","11.415, 370","11.866, 178","13","none","none","none","bK16T02S"
"(2017 FR2)","16","23.0","44 - 195","5","11.810, 346","11.956, 330","13","2028-01 [22.0]","none","2028-07 [11]","bK17F02R"
"(2017 UT5)","2","27.1","6.6 - 30","7","11.751, 370","11.986, 354","13","none","none","none","bK17U05T"
"(2018 OZ)","5","24.9","18 - 81","7","11.868, 378","11.940, 378","12","? 2039-07 [23.6] ?","none","none","bK18O00Z"
"(2018 RG5)","4","26.7","8.0 - 36","7","11.733, 354","11.964, 330","12","none","none","none","bK18R05G"
"(2012 SK50)","10","24.8","19 - 85","8","11.404, 362","11.897, 354","12","none","none","none","bK12S50K"
"(2017 EG3)","2","26.4","9.1 - 41","8","11.756, 346","11.993, 322","12","none","none","none","bK17E03G"
"(2017 FJ)","5","28.2","4.0 - 18","7","11.780, 346","11.947, 314","12","none","none","none","bK17F00J"
"(2017 FO91)","10","25.1","17 - 74","7","11.666, 362","11.990, 346","12","? 2021-02 [20.8] ?","none","none","bK17F91O"
"(2017 GR6)","3","26.4","9.1 - 41","8","11.498, 370","11.947, 354","12","none","none","none","bK17G06R"
"(2018 SD3)","1","27.9","4.6 - 20","7","11.489, 170","11.965, 162","12","none","none","none","bK18S03D"
"(1994 CJ1)","56","21.4","91 - 408","0","11.928, 362","11.998, 346","11","2020-11 [23.0]","2034-07 [32]","none","bJ94C01J"
"190491 (2000 FJ10)","69","20.9","115 - 514","0","11.814, 450","11.942, 442","11","2020-04 [21.0]","none","none","a0190491"
"(2004 RW2)","11","24.4","23 - 103","8","11.906, 370","11.993, 170","11","? 2021-07 [19.9] ?","none","none","bK04R02W"
"(2011 CR1)","10","26.5","8.7 - 39","7","11.773, 410","11.938, 402","11","? 2027-11 [22.4] ?","none","none","bK11C01R"
"(2012 CA53)","7","25.7","13 - 56","6","11.377, 370","11.956, 362","11","none","none","none","bK12C53A"
"(2013 CQ35)","38","19.7","200 - 893","1","11.576, 362","11.812, 354","11","2019-07 [22.3]","2022-12 [15]","2038-08 [13]","bK13C35Q"
"(2015 RW2)","7","27.4","5.8 - 26","8","11.625, 194","11.989, 146","11","none","none","none","bK15R02W"
"(2008 CB175)","10","25.4","14 - 65","7","11.646, 362","11.996, 354","10","none","none","none","bK08CH5B"
"(2008 DU22)","6","26.3","10 - 43","8","11.704, 362","11.946, 346","10","none","none","none","bK08D22U"
"(2009 JE1)","6","26.8","7.6 - 34","9","11.902, 378","11.997, 362","10","none","none","none","bK09J01E"
"453563 (2010 BB)","59","20.2","159 - 709","0","11.710, 354","11.890, 346","10","2021-10 [20.0]","2035-12 [12]","2038-12 [420]","a0453563"
"(2015 HB177)","10","24.6","21 - 94","7","11.795, 450","11.979, 450","10","? 2025-03 [20.7] ?","none","none","bK15HH7B"
"(2015 RJ37)","11","24.0","28 - 123","7","11.884, 330","11.969, 298","10","? 2032-03 [19.1] ?","none","none","bK15R37J"
"(2016 JZ5)","5","27.0","6.9 - 31","7","11.806, 362","11.967, 338","10","none","none","none","bK16J05Z"
"(2016 WW7)","3","26.8","7.6 - 34","7","11.557, 362","11.844, 354","10","? 2032-11 [23.3] ?","none","none","bK16W07W"
"(2017 YE1)","5","24.9","18 - 81","7","11.730, 362","11.912, 338","10","none","none","none","bK17Y01E"
"(2018 GJ5)","7","24.6","21 - 94","7","11.895, 370","11.967, 370","10","? 2022-10 [22.6] ?","none","none","bK18G05J"
"(2019 DR1)","11","23.7","31 - 139","7","11.810, 370","11.971, 362","10","2019-09 [23.5]","none","none","bK19D01R"
"(2019 CG5)","3","26.9","7.2 - 32","7","11.643, 362","11.975, 338","10","none","none","none","bK19C05G"
"(2018 RD2)","2","27.7","5.0 - 22","8","11.526, 354","11.830, 338","10","? 2026-08 [20.9] ?","none","none","bK18R02D"
"(2018 WC2)","3","25.0","17 - 78","7","11.900, 362","11.967, 354","10","? 2025-11 [18.6] ?","2032-12 [22]","2025-12 [18]","bK18W02C"
"(2003 GX)","13","24.1","26 - 118","7","11.772, 370","11.962, 362","9","? 2026-03 [20.1] ?","none","none","bK03G00X"
"(2007 DB61)","15","23.7","32 - 142","1","11.853, 346","11.917, 330","9","2021-04 [23.9]","2026-02 [730]","2026-02 [52]","bK07D61B"
"(2009 WV7)","9","25.9","11 - 51","7","11.894, 370","11.963, 346","9","? 2032-10 [23.7] ?","none","none","bK09W07V"
"(2010 SD)","14","24.8","19 - 85","0","11.736, 378","11.982, 346","9","2031-08 [23.0]","none","none","bK10S00D"
"(2011 EK47)","6","23.9","29 - 129","7","11.941, 370","12.000, 362","9","? 2025-03 [23.5] ?","none","none","bK11E47K"
"519354 (2011 KR12)","29","21.3","96 - 428","1","11.845, 450","11.933, 450","9","2019-07 [22.6]","2032-01 [19]","none","a0519354"
"(2011 SK16)","13","23.5","35 - 155","6","11.793, 394","11.902, 370","9","? 2023-12 [23.6] ?","none","none","bK11S16K"
"(2012 XJ112)","8","26.9","7.3 - 32","7","11.890, 362","11.925, 362","9","? 2027-06 [21.9] ?","none","none","bK12XB2J"
"(2015 BG4)","23","26.4","9.1 - 41","0","11.934, 386","11.985, 370","9","2021-01 [23.5]","none","none","bK15B04G"
"(2015 HJ)","7","27.0","6.9 - 31","7","11.585, 354","11.654, 346","9","none","none","none","bK15H00J"
"(2015 VX)","14","23.7","32 - 142","6","11.919, 450","11.981, 402","9","2023-01 [24.0]","none","none","bK15V00X"
"(2018 MZ4)","1","28.8","3.0 - 14","7","11.847, 378","11.991, 370","8","none","none","none","bK18M04Z"
"163364 (2002 OD20)","105","18.8","302 - 1352","0","11.913, 386","11.974, 370","8","2020-06 [18.3]","2021-03 [21]","2021-05 [11]","a0163364"
"(2004 MO4)","20","24.9","18 - 81","7","11.704, 378","11.941, 370","8","? 2035-04 [17.5] ?","none","none","bK04M04O"
"(2010 CP19)","8","25.9","11 - 51","8","11.741, 362","11.838, 354","8","none","none","none","bK10C19P"
"(2010 PH9)","7","26.6","8.3 - 37","7","11.194, 362","11.900, 354","8","none","none","none","bK10P09H"
"(2011 FU9)","6","26.4","9.1 - 41","8","11.810, 378","11.993, 354","8","? 2024-04 [22.9] ?","none","none","bK11F09U"
"(2011 UH10)","5","27.1","6.6 - 30","8","11.895, 362","11.988, 338","8","none","none","none","bK11U10H"
"(2015 XO128)","4","24.7","20 - 89","8","11.908, 338","11.991, 322","8","? 2040-11 [20.2] ?","none","none","bK15XC8O"
"(2017 NB7)","7","23.4","36 - 163","5","11.671, 378","11.982, 362","8","2019-08 [23.3]","none","none","bK17N07B"
"(2017 QU1)","2","25.0","17 - 78","8","11.890, 322","11.949, 306","8","? 2032-12 [23.1] ?","none","none","bK17Q01U"
"(2018 GB)","1","25.0","17 - 78","7","11.867, 370","11.989, 370","8","? 2024-02 [24.0] ?","none","none","bK18G00B"
"(2018 TQ1)","10","23.8","30 - 135","6","11.889, 370","11.969, 194","8","2021-04 [23.0]","none","none","bK18T01Q"
"(2018 RA2)","7","25.5","14 - 62","8","11.743, 346","11.980, 330","8","none","none","none","bK18R02A"
"(2018 XE)","6","25.4","14 - 65","7","11.796, 354","11.928, 338","8","none","none","none","bK18X00E"
"(2018 XN5)","7","25.6","13 - 59","5","11.658, 378","11.961, 362","8","none","none","none","bK18X05N"
"(2019 EF2)","2","25.7","12 - 55","7","11.596, 170","11.596, 170","8","none","none","none","bK19E02F"
"(2010 VO)","13","23.9","29 - 129","5","11.780, 362","11.966, 354","7","? 2030-06 [20.7] ?","none","none","bK10V00O"
"(2012 TE146)","7","24.8","19 - 85","9","11.947, 402","11.977, 378","7","? 2025-05 [22.0] ?","none","none","bK12TE6E"
"(2012 VD6)","8","25.6","13 - 59","7","11.767, 362","11.987, 354","7","none","none","none","bK12V06D"
"(2013 KH6)","14","23.2","40 - 178","3","11.837, 354","11.933, 346","7","2021-03 [21.4]","none","none","bK13K06H"
"(2014 CA3)","10","24.2","25 - 112","8","11.799, 362","11.805, 354","7","? 2026-12 [23.3] ?","none","none","bK14C03A"
"(2014 KA91)","10","25.5","14 - 62","7","11.846, 362","11.992, 354","7","? 2021-11 [23.7] ?","none","none","bK14K91A"
"(2015 CO)","10","26.2","10 - 45","8","11.784, 378","11.959, 370","7","none","none","none","bK15C00O"
"(2017 BM3)","17","23.0","44 - 195","2","11.622, 378","11.772, 370","7","none","none","none","bK17B03M"
"(2017 QD3)","4","22.3","60 - 270","8","11.657, 370","11.822, 362","7","? 2022-05 [21.9] ?","none","none","bK17Q03D"
"(2018 FJ4)","37","21.1","105 - 469","0","11.900, 370","11.988, 354","7","2020-02 [22.8]","none","none","bK18F04J"
